Repo Name,Contributing Guildlines Link,Commenting Practice Related Content,label,,A's label,B's label,Final label
ATLauncher/ATLauncher,https://github.com/ATLauncher/ATLauncher/blob/master/CONTRIBUTING.md,\,,,,,
apache/avro,https://cwiki.apache.org/confluence/display/AVRO/How+To+Contribute,"For Java code we use Spotless to format the code to comply with Avro's code style conventions (see above). Automatic formatting relies on Avro's Eclipse JDT formatter definition. You can use the same definition to auto format from Eclipse or from IntelliJ configuring the Eclipse formatter plugin.

Examine all public classes you've changed to see that documentation is complete, informative, and properly formatted. Your patch must not generate any javadoc warnings.",where to comment,,other->maintenance->update,where->general_rules->explicit->all_classes other->maintenance->update,other->maintenance->update
Caleydo/caleydo,\,\,,,,,
openmicroscopy/openmicroscopy,https://docs.openmicroscopy.org/contributing/java-development.html,\,,,,,
amaembo/streamex,\,\,,,,,
JMRI/JMRI,\,\,,,,,
sigmoidanalytics/spork,https://cwiki.apache.org/confluence/display/pig/HowToContribute,"All public classes and methods should have informative Javadoc comments.
Do not use @author tags.
Code should be formatted according to Sun's conventions. We use four spaces (not tabs) for indentation.

Examine all public classes you've changed to see that documentation is complete and informative. Your patch must not generate any javadoc warnings.

Please do not:
comment out code that is now obsolete: just remove it.
insert comments around each change, marking the change: folks can use subversion to figure out what's changed and by whom.

Please do:
comment code whose function or rationale is not obvious;





","where to comment
 what to comment",Sun Guide,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->implicit->complex_code what->forbidden->author_tag what->forbidden->commented_code other->maintenance->update ,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes what->required->functionality what->required->purpose what->forbidden->author_tag what->forbidden->commented_code other->maintenance->update ,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->implicit->complex_code what->required->functionality what->required->purpose what->forbidden->author_tag what->forbidden->commented_code other->maintenance->update 
apache/hadoop-hdfs,\,\,,,,,
groovy/groovy-core,https://groovy.apache.org/,\,,,,,
jop-devel/jop,\,\,,,,,
querydsl/querydsl,\,\,,,,,
vaadin/framework,https://github.com/vaadin/framework/blob/master/CONTRIBUTING.md,"Check your patch for basic style violations. If you use eclipse, use the formatting rules preconfigured in the project to make life easier for all involved, and configure save actions as described in README.md.",,,,,
BukkitAPI-Translation-Group/Chinese_BukkitAPI,\,\,,,,,
sdl/dxa-web-application-java,\,\,,,,,
triplea-game/triplea,\,\,,,,,
spring-projects/spring-ws,https://github.com/spring-projects/spring-ws/blob/master/CONTRIBUTING.adoc,"Add yourself as an @author to the .java files that you modify substantially (more than cosmetic changes).
Add some Javadocs.
",what to comment,,what->required->author_info,what->required->author_info,what->required->author_info
apache/systemml,https://github.com/apache/systemds/blob/master/CONTRIBUTING.md,"Before contributing a pull request, we highly suggest applying a code formatter to the written code.
We have provided at profile for java located in Codestyle File ./docs/CodeStyle.eclipse.xml.",,,,,
arianne/stendhal,\,\,,,,,
helma-org/helma,\,\,,,,,
imagej/imagej,\,\,,,,,
atomix/atomix,\,\,,,,,
apache/httpcomponents-core,\,\,,,,,
RestComm/jdiameter,\,\,,,,,
apache/apex-malhar,http://apex.apache.org/contributing.html,Ensure appropriate JavaDoc comments have been added,,,,,
krasserm/ipf,\,\,,,,,
PCGen/pcgen-deprecated,https://github.com/PCGen/pcgen-deprecated#how-do-i-contribute,\,,,,,
eSignLive/esl.sdk.java,\,\,,,,,
cuba-platform/cuba,https://github.com/cuba-platform/cuba/blob/master/CONTRIBUTING.md,"All public interfaces, classes and their public methods must have JavaDoc statement (excluding entities and simple getters/setters).",where to comment,,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->implicit->nontrivial_public_method,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->implicit->nontrivial_public_method,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->implicit->nontrivial_public_method
hawkular/hawkular-agent,\,\,,,,,
forcedotcom/SalesforceMobileSDK-CordovaPlugin,\,\,,,,,
apache/cxf,http://cxf.apache.org/coding-guidelines.html,For Eclipse there is a CXFCodeFormatter.xml you can use.,,,,,
MER-C/wiki-java,https://github.com/MER-C/wiki-java/blob/master/Contributing.md,\,,,,,
apache/maven-wagon,"https://github.com/apache/maven-wagon#making-and-submitting-changes
https://maven.apache.org/developers/conventions/code.html",\,,,,,
vaadin/charts,\,\,,,,,
lessthanoptimal/BoofCV,\,\,,,,,
optimatika/ojAlgo,\,\,,,,,
Evervolv/android_frameworks_base,\,\,,,,,
kiegroup/kie-wb-common,https://github.com/kiegroup/droolsjbpm-build-bootstrap/blob/master/README.md,"Why do you not accept @author lines in your source code?
Because the author tags in the java files are a maintenance nightmare
Because the author tags promote code ownership, which is bad in the long run.
Credit to the authors is given.

",what to comment,,what->required->author_info,what->forbidden->author_tag,what->forbidden->author_tag
compomics/compomics-utilities,\,\,,,,,
webanno/webanno,\,\,,,,,
joel-costigliola/assertj-core,https://github.com/assertj/assertj-core/blob/main/CONTRIBUTING.md,"Write complete Javadocs for each assertion method and include a code example (succeeding and failing assertion(s)).

A good javadoc example taken from AbstractCharSequenceAssert.containsSequence including:
assertion description
a code example showing how to use the assertion (succeeding and failing assertion)
parameters description (if any)
exceptions description
since tag (e.g. @since 3.9.0)

","where to comment
 what to comment",,where->project_rules->assertion_javadoc,where->project_rules->assertion_javadoc what->required->usage what->required->code_example what->required->creation_date,where->project_rules->assertion_javadoc
psi-probe/psi-probe,https://github.com/psi-probe/psi-probe/blob/master/CONTRIBUTING.md,\,,,,,
nutzam/nutz,https://github.com/nutzam/nutz/blob/master/CONTRIBUTING.md,\,,,,,
visad/visad,\,\,,,,,
SlimRoms/frameworks_base,\,\,,,,,
eclipse/rt.equinox.framework,\,\,,,,,
elastic/elasticsearch,"https://github.com/elastic/elasticsearch/blob/master/CONTRIBUTING.md
https://github.com/elastic/elasticsearch/blob/master/CONTRIBUTING.md#javadoc","Good Javadoc can help with navigating and understanding code. Elasticsearch has some guidelines around when to write Javadoc and when not to, but note that we don't want to be overly prescriptive. The intent of these guidelines is to be helpful, not to turn writing code into a chore.

The short version
Always add Javadoc to new code.
Add Javadoc to existing code if you can.
Document the ""why"", not the ""how"", unless that's important to the ""why"".
Don't document anything trivial or obvious (e.g. getters and setters). In other words, the Javadoc should add some value.
The long version
If you add a new Java package, please also add package-level Javadoc that explains what the package is for. This can just be a reference to a more foundational / parent package if appropriate. An example would be a package hierarchy for a new feature or plugin - the package docs could explain the purpose of the feature, any caveats, and possibly some examples of configuration and usage.
New classes and interfaces must have class-level Javadoc that describes their purpose. There are a lot of classes in the Elasticsearch repository, and it's easier to navigate when you can quickly find out what is the purpose of a class. This doesn't apply to inner classes or interfaces, unless you expect them to be explicitly used outside their parent class.
New public methods must have Javadoc, because they form part of the contract between the class and its consumers. Similarly, new abstract methods must have Javadoc because they are part of the contract between a class and its subclasses. It's important that contributors know why they need to implement a method, and the Javadoc should make this clear. You don't need to document a method if it's overriding an abstract method (either from an abstract superclass or an interface), unless your implementation is doing something ""unexpected"" e.g. deviating from the intent of the original method.
Following on from the above point, please add docs to existing public methods if you are editing them, or to abstract methods if you can.
Non-public, non-abstract methods don't require Javadoc, but if you feel that adding some would make it easier for other developers to understand the code, or why it's written in a particular way, then please do so.
Properties don't need to have Javadoc, but please add some if there's something useful to say.
Javadoc should not go into low-level implementation details unless this is critical to understanding the code e.g. documenting the subtleties of the implementation of a private method. The point here is that implementations will change over time, and the Javadoc is less likely to become out-of-date if it only talks about the what is the purpose of the code, not what it does.
Examples in Javadoc can be very useful, so feel free to add some if you can reasonably do so i.e. if it takes a whole page of code to set up an example, then Javadoc probably isn't the right place for it. Longer or more elaborate examples are probably better suited to the package docs.
Test methods are a good place to add Javadoc, because you can use it to succinctly describe e.g. preconditions, actions and expectations of the test, more easily that just using the test name alone. Please consider documenting your tests in this way.
Sometimes you shouldn't add Javadoc:
Where it adds no value, for example where a method's implementation is trivial such as with getters and setters, or a method just delegates to another object.
However, you should still add Javadoc if there are caveats around calling a method that are not immediately obvious from reading the method's implementation in isolation.
You can omit Javadoc for simple classes, e.g. where they are a simple container for some data. However, please consider whether a reader might still benefit from some additional background, for example about why the class exists at all.
Not all comments need to be Javadoc. Sometimes it will make more sense to add comments in a method's body, for example due to important implementation decisions or ""gotchas"". As a general guide, if some information forms part of the contract between a method and its callers, then it should go in the Javadoc, otherwise you might consider using regular comments in the code. Remember as well that Elasticsearch has extensive user documentation, and it is not the role of Javadoc to replace that.
Please still try to make class, method or variable names as descriptive and concise as possible, as opposed to relying solely on Javadoc to describe something.
Use @link and @see to add references, either to related resources in the codebase or to relevant external resources.
If you need help writing Javadoc, just ask!
Finally, use your judgement! Base your decisions on what will help other developers - including yourself, when you come back to some code 3 months in the future, having forgotten how it works.","what to comment
where to comment",Google Guide (备注，加了where to comment),where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->explicit->none_in_overriding_methods where->general_rules->explicit->none_in_test_cases other->maintenance->update ,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->explicit->test_cases where->general_rules->explicit->none_in_overriding_methods what->required->code_example what->required->purpose what->required->@link what->required->test other->maintenance->update,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->explicit->test_cases where->general_rules->explicit->none_in_overriding_methods what->required->code_example what->required->purpose what->required->@link what->required->test other->maintenance->update
ldtteam/minecolonies,https://github.com/ldtteam/minecolonies#contributing,\,,,,,
vitrivr/cineast,https://github.com/vitrivr/cineast#contribution,Cineast primarily uses the Google Java Styleguide.,,Google Guide,,,
SimpleAOSP-Lollipop/platform_frameworks_base,\,\,,,,,
vaadin/flow,https://github.com/vaadin/flow/blob/master/CONTRIBUTING.md,\,,,,,
sbmlteam/jsbml,https://github.com/sbmlteam/jsbml/blob/master/CONTRIBUTING.md,\,,,,,
flixel-gdx/flixel-gdx,\,\,,,,,
cwensel/cascading,https://github.com/cwensel/cascading/blob/wip-4.0/CONTRIBUTING.md,\,,,,,
yahoo/fili,https://github.com/yahoo/fili/blob/master/CONTRIBUTING.md,"We also strive for very high-quality code, with the belief that quality code is easier to maintain, easier to understand, and has fewer bugs. To help keep the quality bar high, we have an automated style checker (Checkstyle) with rules that should catch most of the common style issues. The full details of what the checker looks for can be found in our checkstyle config, but the Google Java style guide covers most of it, and is very close to our style.",,Google Guide,,,
codefollower/H2-Research,\,\,,,,,
thothbot/parallax,\,\,,,,,
seasarorg/dbflute,\,\,,,,,
hashgraph/hedera-sdk-java,https://github.com/hashgraph/hedera-sdk-java/blob/master/CONTRIBUTING.md,\,,,,,
openzipkin/brave,\,\,,,,,
apereo/cas,https://apereo.github.io/cas/developer/Contributor-Guidelines.html,\,,,,,
jrtom/jung,https://github.com/jrtom/jung/blob/master/CONTRIBUTING.md,The JUNG project uses google-java-format to maintain a consistent code style.,,Google Guide,,,
apache/directory-studio,\,\,,,,,
sakaiproject/sakai,https://github.com/sakaiproject/sakai/blob/master/CONTRIBUTING.md,Code style - Does it match the existing code in the file?,,,,,
scouter-project/scouter,https://github.com/scouter-project/scouter/blob/master/scouter.document/tech/Developer-Guide.md,\,,,,,
apache/kafka,"https://github.com/apache/kafka/blob/trunk/CONTRIBUTING.md
https://kafka.apache.org/contributing.html
https://cwiki.apache.org/confluence/display/KAFKA/Contributing+Code+Changes
https://kafka.apache.org/coding-guide.html","Clear code is preferable to comments. When possible make your naming so good you don't need comments. When that isn't possible comments should be thought of as mandatory, write them to be read.
Don't be sloppy. Don't check in commented out code: we use version control, it is still there in the history. Don't leave TODOs in the code or FIXMEs if you can help it. Don't leave println statements in the code. Hopefully this is all obvious.

",what to comment,,what->forbidden->commented_code what->forbidden->TODO,what->forbidden->commented_code what->forbidden->TODO,what->forbidden->commented_code what->forbidden->TODO
javamonkey/beetl2.0,\,\,,,,,
ggp-org/ggp-base,\,\,,,,,
iDevicesInc/SweetBlue,\,\,,,,,
opensourceBIM/BIMserver,\,\,,,,,
modelmapper/modelmapper,https://github.com/modelmapper/modelmapper/blob/master/CONTRIBUTING.md,\,,,,,
ShifuML/shifu,\,\,,,,,
mysql/mysql-connector-j,https://github.com/mysql/mysql-connector-j/blob/release/8.0/CONTRIBUTING.md,\,,,,,
apache/pulsar,"https://pulsar.apache.org/en/contributing/
https://pulsar.apache.org/en/coding-guide/","Apache Pulsar code follows the Sun Java Coding Convention, with the following additions.
No @author tags in any javadoc.
TODOs should be associated to at least one issue.
",what to comment,Sun Guide,,what->required->TODO what->forbidden->author_tag ,what->required->TODO what->forbidden->author_tag 
CESNET/perun,\,\,,,,,
apollo-rsps/apollo,https://github.com/apollo-rsps/apollo/blob/kotlin-experiments/CONTRIBUTING.md#style-guide,"The Apollo project uses a coding style based on the Google style guide.
Clear code is preferable to comments. When possible make your naming so good you don't need comments. When that isn't possible comments should be thought of as mandatory, write them to be read.
Don't be sloppy. Don't check in commented out code: we use version control, it is still there in the history. Don't leave TODOs in the code or FIXMEs if you can help it. Don't leave println statements in the code. Hopefully this is all obvious.
",what to comment,Google Guide,what->forbidden->commented_code what->forbidden->TODO ,what->forbidden->commented_code what->forbidden->TODO ,what->forbidden->commented_code what->forbidden->TODO 
usnistgov/jsip,https://github.com/usnistgov/jsip/blob/master/contributing.txt,\,,,,,
eclipse/californium,https://github.com/eclipse/californium/blob/master/CONTRIBUTING.md,\,,,,,
wso2/siddhi,https://siddhi.io/community/contribution/,\,,,,,
google/j2objc,https://github.com/google/j2objc/blob/master/CONTRIBUTING.md,\,,,,,
owlcs/owlapi,\,\,,,,,
aol/cyclops,https://github.com/aol/cyclops/blob/master/CONTRIBUTING.md,\,,,,,
boalang/compiler,\,\,,,,,
jdbi/jdbi,https://github.com/jdbi/jdbi/blob/master/CONTRIBUTING.md,"if a piece of API must be discouraged after public release, mark it @Deprecated and keep it functionally intact;",,,,,
nativelibs4java/JavaCL,\,\,,,,,
mongodb/mongo-java-driver,https://github.com/mongodb/mongo-java-driver/blob/master/CONTRIBUTING.md,\,,,,,
aosp-mirror/platform_dalvik,https://source.android.com/setup/contribute/code-style#use-javadoc-standard-comments,same as aosp,"where to comment
 what to comment",,where->general_rules->explicit->all_methods where->general_rules->implicit->nontrivial_public_method what->required->functionality what->required->TODO other->readability->language,where->general_rules->explicit->all_methods where->general_rules->implicit->nontrivial_public_method what->required->functionality what->required->TODO other->readability->language,where->general_rules->explicit->all_methods where->general_rules->implicit->nontrivial_public_method what->required->functionality what->required->TODO other->readability->language
Internet2/grouper,\,\,,,,,
j-easy/easy-batch,\,\,,,,,
google/guava,https://github.com/google/guava/blob/master/CONTRIBUTING.md,Files should be formatted according to Google's Java style guide.,,Google Guide,,,
northern-bites/nbites,https://github.com/northern-bites/nbites/wiki#contribution-guide,\,,,,,
charite/jannovar,https://github.com/charite/jannovar#developer-guidelines,"Java code should follow IntelliJ default formatting and the Ctrl+Alt+l formatter. Eclipse users please use Eclipse Code Formatter. Enable the ""wrap at right margin"" option for JavaDoc.",,,,,
raphw/byte-buddy,https://bytebuddy.net/#/develop,\,,,,,
OpenNTF/SocialSDK,\,\,,,,,
jMonkeyEngine/jmonkeyengine,https://github.com/jMonkeyEngine/jmonkeyengine/blob/master/CONTRIBUTING.md,Has comments around ugly code explaining why it is ugly.,,,where->general_rules->implicit->complex_code,where->general_rules->implicit->complex_code,where->general_rules->implicit->complex_code
ThreeTen/threetenbp,\,\,,,,,
ppareit/swiftp,\,\,,,,,
ForgeRock/openam-community-edition,\,\,,,,,
simbrain/simbrain,\,\,,,,,
asnowfix/android_dalvik,\,\,,,,,
jajuk-team/jajuk,http://www.jajuk.info/developer_guide.html,"For formatting reasons, use /* */ for long comments in the methods, not several //
Please remove any dead code",,,what->forbidden->commented_code other->readability->space_indent,what->forbidden->commented_code other->readability->space_indent,what->forbidden->commented_code other->readability->space_indent
eclipse/emf,\,\,,,,,
samtools/htsjdk,https://github.com/samtools/htsjdk#code-style,"Style guides files are included for Intellij and Eclipse. These are a variation of the Google Java Style with 4 space indentation. This style is suggested for new code but not rigidly checked. We allow for contributors to deviate from the style when it improves clarity or to match surrounding code. Existing code does not necessarily conform to this and does not need to be modified to do so, but users are encouraged to correct the formatting of code that they modify.",,Google Guide,,,
Red5/red5-server-common,\,\,,,,,
libgdx/libgdx,https://libgdx.com/dev/contributing/,"If you create a new class, please add documentation that explains the usage and scope of the class. You don’t have to add javadocs for methods that are self explanatory.
If your class is thread safe, mention it in the documentation. Its assumed that libGDX classes are not thread safe by default, so please mention it.",what to comment,,where->general_rules->explicit->all_classes what->required->limitation,where->general_rules->explicit->all_classes where->general_rules->implicit->nontrivial_public_method what->required->limitation,where->general_rules->explicit->all_classes where->general_rules->implicit->nontrivial_public_method what->required->limitation
BanManagement/BanManager,\,\,,,,,
JBEI/ice,\,\,,,,,
openmrs/openmrs-module-webservices.rest,\,\,,,,,
codenvy-legacy/ide,\,\,,,,,
kumpelblase2/Remote-Entities,\,\,,,,,
scylladb/scylla-tools-java,https://github.com/scylladb/scylla-tools-java/blob/master/CONTRIBUTING.md,\,,,,,
arquillian/arquillian-cube,\,\,,,,,
julianhyde/optiq,https://github.com/julianhyde/optiq/blob/retired/README-old.md,\,,,,,
marklogic-community/ml-app-deployer,https://github.com/marklogic-community/ml-app-deployer/blob/master/CONTRIBUTING.md,\,,,,,
TeamExodus/frameworks_base,\,\,,,,,
kaitoy/pcap4j,https://github.com/kaitoy/pcap4j#contributing-code,This project follows Google Java Style Guide. Execute the following command to format your code: mvnw com.coveo:fmt-maven-plugin:format,,Google Guide,,,
brunoribeiro/sql-parser,\,\,,,,,
AOKP/frameworks_base,\,\,,,,,
RestComm/jain-sip,https://github.com/RestComm/jain-sip/blob/master/contributing.txt,\,,,,,
eclipse-ee4j/eclipselink,https://github.com/eclipse-ee4j/eclipselink/blob/master/CONTRIBUTING.md,\,,,,,
ps3mediaserver/ps3mediaserver,\,\,,,,,
kubernetes-client/java,https://github.com/kubernetes-client/java/blob/master/CONTRIBUTING.md,\,,,,,
apache/ant,https://github.com/apache/ant/blob/master/CONTRIBUTING.md,\,,,,,
NitorCreations/nflow,\,\,,,,,
jitsi/jitsi,"https://github.com/jitsi/jitsi/blob/master/CONTRIBUTING.md
https://desktop.jitsi.org/Documentation/CodeConvention","@param tag values in javadoc do not have any indentation

DOCUMENT EVERYTHING
Every method and every class, whether public or internal, MUST start out with a documentation (javadoc) comment that describes what the method (class) does. For methods the docu","what to comment
where to comment",,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->explicit->member_fields what->required->usage,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->explicit->member_fields what->required->functionality what->required->usage,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->explicit->member_fields what->required->functionality what->required->usage
apache/commons-collections,https://github.com/apache/commons-collections/blob/master/CONTRIBUTING.md,\,,,,,
apache/hadoop,https://cwiki.apache.org/confluence/display/HADOOP/How+To+Contribute,"All public classes and methods should have informative Javadoc comments.
Do not use @author tags.
Code should be formatted according to Sun's conventions. We use four spaces (not tabs) for indentation.

Examine all public classes you've changed to see that documentation is complete and informative. Your patch must not generate any javadoc warnings.

Please do not:
comment out code that is now obsolete: just remove it.
insert comments around each change, marking the change: folks can use subversion to figure out what's changed and by whom.

Please do:
comment code whose function or rationale is not obvious;





","where to comment
 what to comment",Sun's conventions,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->implicit->complex_code what->forbidden->commented_code other->maintenance->update ,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes what->required->functionality what->required->purpose what->forbidden->author_tag what->forbidden->commented_code other->readability->space_indent , where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes what->required->functionality what->required->purpose what->forbidden->author_tag what->forbidden->commented_code other->readability->space_indent other->maintenance->update 
netarchivesuite/netarchivesuite,https://sbforge.org/display/NAS/Coding+Guidelines,"Public methods should always check that their arguments follow the JavaDoc restriction with respect to being null, empty, non-negative etc. The ArgumentNotValid class has a number of useful methods for this.

JavaDoc is strongly encouraged, as the code might explain what happens, but not the why; the JavaDoc must describe the intent of the function, including assumptions and invariants as well as expectations of the arguments. Please add and improve as needed.",what to comment,,what->required->usage what->required->purpose,what->required->purpose,what->required->usage what->required->purpose
apache/jackrabbit,\,\,,,,,
cbeust/testng,https://github.com/cbeust/testng/blob/68feee159051faad702b017b7a823faebe9ac99a/.github/CONTRIBUTING.md,"add your code, add javadocs,",,,,,
amzn/exoplayer-amazon-port,https://github.com/amzn/exoplayer-amazon-port/blob/amazon/r2.12.1/CONTRIBUTING.md,\,,,,,
jponge/izpack,\,\,,,,,
virgo47/javasimon,https://github.com/virgo47/javasimon/blob/master/docs/Development.md,"Line comment behind statement is separated with a single space. 
Javadoc needs to be updated when API is changed (should corellate with changes of major/minor versions, not with patch versions). Repository docs needs to be cloned/pulled, and newly built Javadoc is to be copied after release (see mvn-manual-release.bat) to docs/javadoc/api/<major.minor>.
",,,other->readability->space_indent other->maintenance->update,,other->readability->space_indent other->maintenance->update
linkedin/ambry,\,\,,,,,
typetools/checker-framework,https://github.com/typetools/checker-framework/blob/master/CONTRIBUTING.md,\,,,,,
xerial/snappy-java,\,\,,,,,
Azure/azure-sdk-for-java,https://github.com/Azure/azure-sdk-for-java/blob/master/CONTRIBUTING.md,\,,,,,
apache/jclouds,"https://cwiki.apache.org/confluence/display/JCLOUDS/How+to+Contribute
https://cwiki.apache.org/confluence/display/JCLOUDS/Coding+Standards",jclouds uses Checkstyle to enforce a consistent coding style. Configure your IDE or run mvn checkstyle:checkstyle --quiet -Dcheckstyle.output.file=/dev/stdout -Dcheckstyle.output.format=plain before submitting pull requests.,,,,,
eclipse/eclipse.platform.ui,https://wiki.eclipse.org/Platform_UI/How_to_Contribute,"Follow the Eclipse Platform's Development Conventions and Guidelines.

Write/update Javadoc for all API you introduce/change.

Important architectural explanations should go into code comments, not just into the commit message.
","where to comment
 what to comment",,other->maintenance->update,where->general_rules->explicit->all_methods what->required->functionality other->maintenance->update,where->general_rules->explicit->all_methods what->required->functionality other->maintenance->update
AKSW/RDFUnit,\,\,,,,,
ogrisel/mahout,https://mahout.apache.org/developers/how-to-contribute,"All public classes and methods should have informative Javadoc comments.

Please do not:
comment out code that is now obsolete: just remove it.
insert comments around each change, marking the change: folks can use subversion to figure out what’s changed and by whom.

Please do:
comment code whose function or rationale is not obvious;


","where to comment
 what to comment",,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->implicit->complex_code what->forbidden->commented_code other->maintenance->update,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes what->required->functionality what->required->purpose what->forbidden->commented_code other->maintenance->update,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->implicit->complex_code what->required->functionality what->required->purpose what->forbidden->commented_code other->maintenance->update
mulesoft-labs/raml-for-jax-rs,\,\,,,,,
openstreetmap/osmosis,\,\,,,,,
omnirom/android_frameworks_base,\,\,,,,,
wso2/carbon-apimgt,\,\,,,,,
FeatureIDE/FeatureIDE,\,\,,,,,
branflake2267/GWT-Maps-V3-Api,\,\,,,,,
thymeleaf/thymeleaf-spring,https://github.com/thymeleaf/thymeleaf-spring/blob/3.0-master/CONTRIBUTING.markdown,"All comments, names of classes and variables, log messages, etc. must be in English.
Include a block comment (/* ... */) for any non-trivial algorithm you develop. ""Non-trivial"" usually means you had to make some design decisions to do things in a certain way. Your comment should explain why you wrote the code the way you wrote it. Do not write obvious comments that explain what the code does; the code should be clear and expressive enough so the what and how of it is obvious.
All public methods and classes directly available to users should have comprehensive JavaDoc comments.
","where to comment
 what to comment",,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->implicit->complex_code other->readability->english,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->implicit->complex_code what->required->purpose other->readability->english,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->implicit->complex_code what->required->purpose other->readability->english
h2database/h2database,\,\,,,,,
speedment/speedment,https://github.com/speedment/speedment/blob/master/CONTRIBUTING.md,Write JavaDoc to your methods and classes,,,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes
openmrs/openmrs-core,"https://github.com/openmrs/openmrs-core/blob/master/CONTRIBUTING.md
https://wiki.openmrs.org/x/MxEz","Do not comment out code
Do not leave commented out code in the source files. Just remove it. Others will think this has been left there for a purpose and thus will probably not dare to delete it which will leave this commented out code hanging around forever. There are some exceptions of course, such as: ""When I'm pretty sure it needs re-enabled at some point, and to make sure I don't forget why that is, I leave a clear TODO comment, e.g. ""TODO this needs re-enabled when TRUNK-XXXX is fixed"". Most IDEs are good at parsing out all TODO statements."" Rowan Seymour

All classes and interfaces should, at a minimum, have a Javadoc comment at the class level
Public methods should have a Javadoc comment
Please note that the commenting style from most textbooks is only a good practice when the comments are intended for a student learning to program. It is not intended for professional programmers. Take a look at these best practices for commenting your code.
Code that performs any non-obvious task should be documented for clarification

Use both the @Deprecated annotation and the @deprecated javadoc comment




","where to comment
 what to comment",,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->implicit->nontrivial_public_method what->forbidden->commented_code,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes what->required->TODO what->forbidden->commented_code,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->implicit->nontrivial_public_method what->forbidden->commented_code
PCGen/pcgen,\,\,,,,,
encog/encog-java-core,\,\,,,,,
deeplearning4j/nd4j,https://github.com/deeplearning4j/nd4j#contribute,Note the repository follows the Google Java style,,Google Guide,,,
greenrobot/greenDAO,https://github.com/greenrobot/greenDAO/blob/master/CONTRIBUTING.md,\,,,,,
Grover-c13/PokeGOAPI-Java,https://github.com/Grover-c13/PokeGOAPI-Java#contributing,\,,,,,
opennetworkinglab/onos,"https://wiki.onosproject.org/display/ONOS/Contributor+Guide
https://wiki.onosproject.org/display/ONOS/Code+Style+Guidelines",Details at https://wiki.onosproject.org/display/ONOS/Code+Style+Guidelines#CodeStyleGuidelines-Comments,what to comment,,"where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->explicit->test_cases other->readability->language what->required->functionality what->required->usage  other->readability->space_indent where->general_rules->implicit->complex_code 

 

 

",where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes what->required->usage other->readability->space_indent other->readability->language,"where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->explicit->test_cases other->readability->language what->required->functionality what->required->usage  other->readability->space_indent where->general_rules->implicit->complex_code 

 

 

"
VoltzEngine-Project/Engine,\,\,,,,,
jamesagnew/hapi-fhir,https://github.com/hapifhir/hapi-fhir/wiki/Contributing,\,,,,,
epimorphics/elda,\,\,,,,,
intermine/intermine,http://intermine.org/contributing/,\,,,,,
boonproject/boon,\,\,,,,,
xerial/sqlite-jdbc,\,\,,,,,
gp-b2g/frameworks_base,\,\,,,,,
exoplatform/social,\,\,,,,,
thomsonreuters/Elektron-SDK,\,\,,,,,
javaserverfaces/mojarra,\,\,,,,,
apache/beam,https://beam.apache.org/contribute/,\,,,,,
gridgain/gridgain,\,\,,,,,
StripesFramework/stripes,\,\,,,,,
havlenapetr/android_frameworks_base,\,\,,,,,
mmarquee/ui-automation,https://github.com/mmarquee/ui-automation/blob/master/CONTRIBUTING.md,\,,,,,
graalvm/graal,https://github.com/oracle/graal/blob/master/CONTRIBUTING.md,\,,,,,
groovy/groovy-eclipse,https://github.com/groovy/groovy-eclipse/blob/master/docs/Getting-Started-with-Groovy-Eclipse-Source-Code.md#contribute,"There are currently no coding standards, but ensure your changes match the style of the code that is already present in the project.",,,,,
